username,connections_count,followers_count,following_count,activity_count,number_of_posts,account_age_days,bio_length,has_profile_pic,has_cover_photo,followers_following_ratio,label
shivali.patel,94789,93704,1085,514,240,590,141,1,0,86.36,0
prajkta101,50651,49773,878,2854,1351,1788,133,1,1,56.69,0
shivali_914,1265,269,996,39,12,34,39,0,0,0.27,1
aarav.mehta,49367,48205,1162,997,316,765,160,1,1,41.48,0
vihaankulkarni,65883,64641,1242,4866,1505,2152,83,1,1,52.05,0
kavya_kharat,1454,78,1376,32,45,43,40,1,1,0.06,1
divya_singh,5100,176,4924,21,32,176,50,1,1,0.04,1
sai.kale,30634,30273,361,4730,1043,2963,110,1,0,83.86,0
shivalisutar,66708,66594,114,4519,1773,1988,65,1,1,584.16,0
aditya_chavhan,4002,219,3783,80,25,5,40,1,1,0.06,1
ishaan.singh,62589,60593,1996,317,1748,2890,92,1,1,30.36,0
sumankharat,89089,88698,391,2016,1383,2017,90,1,1,226.85,0
divyashinde,950,94,856,48,13,143,33,1,1,0.11,1
shreya.chavhan,13380,12930,450,1729,1631,414,71,1,0,28.73,0
ishaan_493,2888,295,2593,5,44,28,11,0,1,0.11,1
aditya146,817,45,772,12,39,30,27,1,1,0.06,1
divyakadam,80664,80270,394,3745,1432,657,67,1,1,203.73,0
prajkta_sutar,85537,83953,1584,1564,561,2698,112,1,1,53.0,0
aishwarya_kamble,26699,24973,1726,102,1212,919,120,1,1,14.47,0
ishaan298,69291,67726,1565,4351,109,1849,98,1,0,43.28,0
nehakharat,4018,72,3946,66,1,46,4,0,0,0.02,1
divya_419,2026,255,1771,54,6,53,35,0,0,0.14,1
kavya_singh,1684,1479,205,1587,322,2575,83,1,1,7.21,0
ankit.kamble,3486,96,3390,8,19,74,34,0,1,0.03,1
rohan604,79865,78115,1750,1703,1205,1238,137,1,1,44.64,0
kunal269,1946,62,1884,23,36,26,0,1,1,0.03,1
priya.mehta,4724,134,4590,22,3,132,48,1,1,0.03,1
kavya_kadam,28218,27016,1202,132,1234,1870,156,1,0,22.48,0
mrunal509,7059,5741,1318,743,1779,2492,67,1,1,4.36,0
kunal_pawar,44198,43318,880,3863,143,688,142,1,0,49.23,0
aishwarya.kulkarni,3295,64,3231,52,21,99,47,1,0,0.02,1
nikhilchavhan,3393,124,3269,51,20,50,21,0,0,0.04,1
aaravkale,42023,41287,736,4037,1534,1327,150,1,1,56.1,0
yogesh_543,9054,8913,141,4298,220,2169,150,1,0,63.21,0
nikhil206,88538,86932,1606,4353,185,1276,102,1,1,54.13,0
rohan.patel,4712,153,4559,70,47,111,3,0,0,0.03,1
ankitjadhav,29098,28666,432,1001,1847,1600,95,1,1,66.36,0
saikale,47205,45700,1505,797,635,730,157,1,1,30.37,0
aarav_singh,1058,120,938,42,32,34,14,0,1,0.13,1
pooja844,1899,64,1835,56,35,45,42,1,0,0.03,1
kunal.kharat,3068,238,2830,39,26,92,40,0,1,0.08,1
prajkta.sutar,2742,73,2669,50,14,6,28,1,0,0.03,1
yogeshjoshi,62781,62565,216,751,803,1828,87,1,0,289.65,0
kavya.sutar,3077,263,2814,19,29,117,24,1,1,0.09,1
suresh59,14347,12919,1428,1023,1028,482,59,1,1,9.05,0
vihaansutar,96353,94741,1612,3789,518,2480,68,1,1,58.77,0
sneha_863,4074,63,4011,65,50,51,39,0,0,0.02,1
ishaan_565,57414,55722,1692,1918,1261,2789,105,1,1,32.93,0
sneha_mehta,61592,60045,1547,2283,258,270,92,1,0,38.81,0
pooja.sutar,4548,78,4470,18,0,80,15,0,1,0.02,1
amit_singh,968,30,938,70,36,178,4,0,0,0.03,1
kavya427,2496,164,2332,71,11,16,4,0,0,0.07,1
ananya.kulkarni,2484,168,2316,50,22,155,44,1,1,0.07,1
priya_535,2470,1300,1170,2675,1450,2370,124,1,1,1.11,0
aishwarya_sharma,63662,63483,179,4299,1160,1420,78,1,0,354.65,0
suresh_chavhan,77771,76695,1076,2649,1309,395,154,1,1,71.28,0
pooja759,22338,20412,1926,4053,587,911,84,1,0,10.6,0
priya.bhise,3067,111,2956,2,17,33,50,1,0,0.04,1
sneha.gaikwad,4839,42,4797,46,12,131,37,0,1,0.01,1
shreya_652,4167,230,3937,25,20,34,1,1,0,0.06,1
kavyakharat,6580,5425,1155,567,1253,2951,99,1,0,4.7,0
suman136,1854,224,1630,48,30,155,11,1,1,0.14,1
neha_233,4642,142,4500,77,10,129,5,0,1,0.03,1
suman160,20409,20280,129,554,1632,1351,127,1,0,157.21,0
aishwarya323,6038,5000,1038,3853,1997,2246,58,1,0,4.82,0
rahul367,78591,77110,1481,1787,991,805,96,1,1,52.07,0
mrunal_628,41104,40662,442,2249,728,1925,128,1,1,92.0,0
rahul_pawar,28370,27026,1344,4799,1294,2275,62,1,0,20.11,0
shreya_16,6018,4306,1712,809,1197,650,79,1,0,2.52,0
pooja260,19585,18184,1401,2330,1064,1592,81,1,1,12.98,0
mrunalkale,12755,11784,971,3747,1879,930,72,1,0,12.14,0
arjun.singh,4253,71,4182,55,41,34,41,1,0,0.02,1
rohan_781,100036,98298,1738,3752,524,2497,91,1,0,56.56,0
prajkta.bhise,44347,43073,1274,2943,1132,1243,127,1,0,33.81,0
prajkta_kulkarni,4487,221,4266,9,38,27,46,1,1,0.05,1
prathameshgaikwad,99793,98123,1670,4186,653,2312,100,1,0,58.76,0
prathamesh.jadhav,1465,207,1258,61,5,157,5,0,0,0.16,1
aarav.kale,6970,6692,278,3039,1704,2617,112,1,0,24.07,0
prajkta_837,13668,13207,461,2199,1256,537,134,1,0,28.65,0
shivalishinde,3601,192,3409,40,31,105,19,0,0,0.06,1
pooja_kharat,4371,18,4353,25,28,16,7,0,1,0.0,1
shivalichavhan,78815,77261,1554,407,50,2953,130,1,0,49.72,0
neha.pawar,13151,11835,1316,1945,1481,1759,91,1,0,8.99,0
ankit.patel,3360,266,3094,71,27,4,35,0,0,0.09,1
prathameshsharma,4039,139,3900,5,11,103,11,0,1,0.04,1
prathamesh_singh,92393,91853,540,3597,1662,2432,155,1,1,170.1,0
shreya.pawar,19264,17472,1792,172,1982,2910,121,1,1,9.75,0
divyajoshi,1301,144,1157,34,30,17,23,1,0,0.12,1
riya.jadhav,1387,277,1110,12,21,3,37,1,0,0.25,1
rahul.kulkarni,2865,123,2742,23,20,113,16,1,0,0.04,1
ishaangaikwad,4046,280,3766,34,22,137,12,0,0,0.07,1
yogesh.sharma,20215,18720,1495,576,1471,2562,148,1,1,12.52,0
vivaanpawar,3839,3,3836,31,17,168,20,0,1,0.0,1
vihaan_553,33905,33108,797,2176,1726,2807,121,1,0,41.54,0
rohan978,92960,92144,816,817,714,1933,68,1,0,112.92,0
aarav.kadam,3819,198,3621,63,31,15,15,0,1,0.05,1
vihaan371,1528,205,1323,51,12,57,0,1,0,0.15,1
priya.sharma,99622,98102,1520,3232,1820,1789,151,1,0,64.54,0
priya233,57936,57018,918,642,1537,1370,63,1,1,62.11,0
priya_joshi,4875,291,4584,76,29,104,28,1,1,0.06,1
vivaan465,65600,64169,1431,3171,614,1483,98,1,0,44.84,0
kavya633,52390,51994,396,1582,1012,2986,86,1,0,131.3,0
ankit.kadam,20112,19419,693,239,1638,423,113,1,1,28.02,0
rohan_kadam,3842,6,3836,61,11,2,46,0,0,0.0,1
snehabhise,4500,198,4302,48,38,107,30,0,1,0.05,1
pooja_377,4505,259,4246,25,44,134,32,0,0,0.06,1
sumanpatil,2607,69,2538,75,2,170,6,0,1,0.03,1
pooja_bhise,4009,222,3787,38,5,137,0,0,1,0.06,1
riya_joshi,28891,28793,98,1610,1505,672,121,1,1,293.81,0
ankit136,1234,224,1010,39,42,167,27,1,0,0.22,1
amit186,1588,127,1461,15,5,153,17,1,1,0.09,1
arjunchavhan,4072,275,3797,24,45,58,11,0,0,0.07,1
yogesh.gaikwad,44776,43783,993,4628,1991,2010,51,1,1,44.09,0
shreya_147,4863,285,4578,56,8,69,36,1,0,0.06,1
krishna_480,1231,31,1200,53,29,107,33,1,0,0.03,1
krishna_133,12033,11451,582,3816,394,754,136,1,0,19.68,0
neha_263,614,102,512,50,12,90,28,1,0,0.2,1
prajkta902,1684,264,1420,41,27,91,16,0,1,0.19,1
aditya66,3868,39,3829,68,20,167,42,1,1,0.01,1
shreya_449,4007,183,3824,37,17,140,40,0,0,0.05,1
kunal.kale,55327,54695,632,555,758,502,90,1,1,86.54,0
prathameshsutar,26046,24900,1146,3305,1965,1671,64,1,0,21.73,0
arjun_222,6224,4683,1541,1523,1319,411,56,1,1,3.04,0
sneha220,69434,68107,1327,3870,562,730,151,1,0,51.32,0
sneha_mehta,803,128,675,4,9,177,50,0,1,0.19,1
sai485,1143,136,1007,12,44,10,15,0,0,0.14,1
ananya.kharat,2676,76,2600,80,41,175,50,0,1,0.03,1
aarav_mehta,4967,286,4681,43,16,82,7,0,0,0.06,1
ananya_440,35483,35350,133,3789,465,2937,114,1,0,265.79,0
yogesh.patel,65188,64495,693,4742,1941,904,74,1,1,93.07,0
amit_535,4972,253,4719,57,21,170,40,1,0,0.05,1
pooja_92,4332,292,4040,33,11,77,40,0,0,0.07,1
rohan_singh,4470,217,4253,59,47,54,23,0,1,0.05,1
vihaan825,98754,98018,736,4613,516,2186,144,1,0,133.18,0
aarav_896,65411,63598,1813,3124,650,812,102,1,1,35.08,0
shreya_patel,9627,9039,588,4047,1642,957,154,1,1,15.37,0
prathamesh126,98488,97306,1182,1248,608,2859,76,1,1,82.32,0
vihaan508,3181,225,2956,36,42,86,12,0,1,0.08,1
nikhil_918,57720,55866,1854,238,1043,1783,137,1,1,30.13,0
neha663,33317,31808,1509,518,832,2316,118,1,0,21.08,0
aaravgaikwad,35442,34940,502,619,768,276,98,1,1,69.6,0
nikhil_21,22198,21631,567,491,1826,880,160,1,1,38.15,0
ankit_pawar,3573,135,3438,20,24,12,29,1,1,0.04,1
vihaan_464,27190,25394,1796,3962,262,1001,97,1,1,14.14,0
rahulchavhan,4902,180,4722,30,42,113,7,0,0,0.04,1
ishaan.singh,2685,218,2467,67,36,40,42,0,1,0.09,1
shivalikharat,2765,117,2648,7,17,83,20,1,0,0.04,1
prajkta.chavhan,11094,9493,1601,4158,1815,2296,157,1,1,5.93,0
ankitkulkarni,3295,14,3281,13,27,58,49,0,0,0.0,1
vihaan939,43350,43027,323,2748,1309,2713,114,1,0,133.21,0
ankit_946,906,269,637,4,5,50,36,1,0,0.42,1
aditya_joshi,4122,115,4007,27,39,89,20,0,0,0.03,1
ankit128,91930,90657,1273,2845,244,1835,114,1,1,71.22,0
sneha.gaikwad,38324,36489,1835,1105,1400,1426,154,1,0,19.89,0
ishaanpatel,60829,60608,221,2955,656,908,133,1,1,274.24,0
prathamesh92,47967,47336,631,4673,1829,2301,147,1,1,75.02,0
arjun993,1348,15,1333,15,38,163,14,1,1,0.01,1
rahul_chavhan,96151,94824,1327,4193,677,2513,149,1,1,71.46,0
suresh_292,1756,1132,624,1394,1432,2579,86,1,0,1.81,0
kunal_chavhan,17021,16103,918,2648,1133,2702,88,1,0,17.54,0
riya_sharma,5175,4307,868,1525,1259,336,129,1,0,4.96,0
kunal_288,38847,36948,1899,532,1879,2842,99,1,0,19.46,0
nikita883,714,10,704,78,12,128,6,1,1,0.01,1
mrunal.gaikwad,91822,91044,778,1834,1200,1483,54,1,1,117.02,0
nikhil108,46736,45107,1629,1373,647,2556,154,1,0,27.69,0
riyapawar,54000,53798,202,3282,1979,980,92,1,1,266.33,0
suresh_490,57688,57177,511,1430,314,2849,132,1,1,111.89,0
kunal.kulkarni,74799,73952,847,1438,719,1303,157,1,1,87.31,0
nikhil_shinde,4129,85,4044,58,44,33,16,0,1,0.02,1
priya_patel,5176,181,4995,21,19,82,40,1,1,0.04,1
sneha264,2821,85,2736,75,19,111,15,0,1,0.03,1
yogesh_783,766,3,763,40,4,108,39,1,0,0.0,1
rahul354,85948,85670,278,1836,989,2466,61,1,1,308.17,0
priya_shinde,1329,215,1114,1398,1732,823,56,1,1,0.19,0
prajkta_bhise,69511,68068,1443,1707,1893,2359,102,1,1,47.17,0
kunal941,100140,99019,1121,165,1726,1619,82,1,0,88.33,0
aishwaryapatil,58429,56482,1947,4838,1096,2872,103,1,1,29.01,0
mrunal.pawar,827,107,720,63,40,70,31,0,0,0.15,1
riyachavhan,30758,29548,1210,4462,1561,2081,55,1,1,24.42,0
aditya.kulkarni,614,106,508,36,39,100,49,1,0,0.21,1
rohan73,4077,262,3815,5,19,141,3,1,1,0.07,1
ananya595,3192,25,3167,44,33,167,1,1,1,0.01,1
aishwarya.sharma,1142,11,1131,68,48,168,5,1,0,0.01,1
riya_762,4492,271,4221,73,9,91,2,1,1,0.06,1
adityakulkarni,751,56,695,68,35,125,47,0,0,0.08,1
arjun.joshi,1955,4,1951,12,1,26,26,1,0,0.0,1
rohan.gaikwad,16690,15817,873,3062,1890,2376,60,1,1,18.12,0
aishwarya240,4665,78,4587,39,40,41,0,1,1,0.02,1
mrunal_342,4133,153,3980,77,10,93,48,1,0,0.04,1
sneha_mehta,25635,23723,1912,4350,1163,2397,97,1,0,12.41,0
adityapawar,3050,50,3000,34,10,32,40,1,1,0.02,1
neha.shinde,406,30,376,48,16,125,6,1,0,0.08,1
ishaansingh,20709,20177,532,1595,1150,302,131,1,0,37.93,0
krishna_81,40232,38788,1444,4282,432,2325,103,1,0,26.86,0
sai_356,46285,45244,1041,4226,736,1670,117,1,1,43.46,0
nikita_chavhan,3297,176,3121,71,15,123,29,1,1,0.06,1
ankit_kamble,4528,136,4392,58,19,58,36,1,0,0.03,1
ankit_kadam,2529,188,2341,7,28,89,41,1,1,0.08,1
suman_864,1358,254,1104,27,42,70,4,1,0,0.23,1
riyasharma,17971,16844,1127,1487,1403,2524,137,1,1,14.95,0
kavya_singh,44822,43817,1005,589,953,1270,149,1,1,43.6,0
sneha883,1114,15,1099,12,20,79,43,1,1,0.01,1
ananyakadam,3971,37,3934,40,48,124,5,1,1,0.01,1
ananyabhise,3639,236,3403,20,12,66,5,0,1,0.07,1
aishwarya924,2997,256,2741,71,2,43,43,0,0,0.09,1
riyapatil,58713,58412,301,4286,1054,1351,105,1,1,194.06,0
sai.kulkarni,2238,91,2147,78,24,45,40,0,1,0.04,1
kunal_jadhav,4133,42,4091,35,2,172,38,1,0,0.01,1
vivaan_pawar,100552,98964,1588,2301,1569,1514,65,1,1,62.32,0
neha462,4423,245,4178,25,35,70,38,1,1,0.06,1
mrunal_703,48498,46548,1950,1238,1370,2491,96,1,0,23.87,0
riya_973,50592,49869,723,3798,1607,1349,61,1,1,68.98,0
suresh_3,61156,59548,1608,4482,1692,1675,132,1,1,37.03,0
suresh.patil,76445,74937,1508,4650,1680,2407,149,1,0,49.69,0
amit_515,29077,27355,1722,3167,914,2571,90,1,0,15.89,0
suman_106,1463,70,1393,8,47,4,9,1,1,0.05,1
kunalpatil,51431,50112,1319,2293,828,2895,93,1,1,37.99,0
divya.gaikwad,78843,77082,1761,1063,1245,1082,138,1,1,43.77,0
yogesh.shinde,62502,61909,593,1827,1243,2288,144,1,1,104.4,0
ankit.pawar,1501,225,1276,30,4,25,39,1,0,0.18,1
arjun_381,96063,95697,366,1159,926,1981,141,1,1,261.47,0
aarav_shinde,5049,219,4830,1,32,51,20,1,0,0.05,1
riya.bhise,2035,214,1821,54,21,176,38,0,0,0.12,1
prajkta_834,56481,54939,1542,4058,676,806,98,1,1,35.63,0
shreya378,66758,66085,673,1817,1412,210,115,1,1,98.19,0
amitkale,1425,282,1143,26,50,153,8,0,0,0.25,1
kunaljadhav,5033,84,4949,3,43,50,12,0,1,0.02,1
prathamesh.chavhan,3124,4,3120,9,33,57,20,1,0,0.0,1
sneha179,3939,209,3730,45,18,16,3,1,1,0.06,1
shivali_joshi,55122,54221,901,4493,395,1140,54,1,1,60.18,0
priya_992,1351,248,1103,56,40,41,28,1,1,0.22,1
vihaan_280,26020,25282,738,3462,1843,357,138,1,1,34.26,0
suman.mehta,3339,189,3150,6,37,140,3,1,1,0.06,1
shivali628,3882,249,3633,15,33,115,40,1,0,0.07,1
krishna_648,19722,18558,1164,647,1889,2511,50,1,1,15.94,0
vivaan_176,53703,51968,1735,2731,765,673,115,1,1,29.95,0
sai.sutar,15921,13983,1938,2345,1018,1344,134,1,0,7.22,0
aarav944,59327,58392,935,1579,1058,2965,155,1,1,62.45,0
mrunal744,64182,62476,1706,4694,1673,1672,85,1,0,36.62,0
priya850,3426,132,3294,1,4,16,26,1,0,0.04,1
shivali_gaikwad,3092,188,2904,22,21,122,24,1,1,0.06,1
divyakamble,878,7,871,79,29,92,3,1,1,0.01,1
ananya_sharma,92693,92488,205,4404,1181,2340,138,1,0,451.16,0
rahul_kharat,5017,105,4912,38,49,103,16,1,0,0.02,1
krishnachavhan,1161,132,1029,43,33,170,5,1,1,0.13,1
krishnachavhan,3757,105,3652,35,5,49,12,1,0,0.03,1
prathamesh_kulkarni,30658,30309,349,3930,1288,996,138,1,0,86.85,0
shivali.kulkarni,3124,130,2994,36,6,38,28,0,1,0.04,1
pooja_mehta,23607,23482,125,3776,856,2401,98,1,1,187.86,0
divya944,1095,26,1069,69,0,8,50,1,1,0.02,1
shivali_sharma,755,259,496,67,4,42,6,1,0,0.52,1
aarav_359,5053,216,4837,54,35,33,3,1,1,0.04,1
suresh.sharma,74329,73512,817,891,289,1975,98,1,1,89.98,0
vivaan712,2939,46,2893,67,32,132,6,1,0,0.02,1
nikhil455,42524,42184,340,3065,1591,1791,107,1,1,124.07,0
ananya.pawar,98596,98004,592,2556,1217,1012,141,1,0,165.55,0
aishwarya875,1083,233,850,59,20,3,39,1,1,0.27,1
suresh886,2049,146,1903,8,12,104,23,0,0,0.08,1
aishwarya_794,19189,17347,1842,4934,1974,2829,120,1,0,9.42,0
nikitashinde,52793,51811,982,1623,219,2391,144,1,1,52.76,0
ananya956,6813,6616,197,1197,1761,222,114,1,0,33.58,0
vivaan_223,65198,63861,1337,2012,1403,453,158,1,0,47.76,0
neha_625,1710,967,743,1800,1305,2383,113,1,1,1.3,0
pooja_899,2990,150,2840,42,34,40,18,0,1,0.05,1
kavya118,5213,240,4973,7,38,139,13,0,0,0.05,1
divya86,1114,4,1110,46,1,4,44,1,0,0.0,1
nikhilpatel,7462,5596,1866,4667,1936,916,123,1,0,3.0,0
prathamesh_kadam,3940,192,3748,22,14,44,26,1,0,0.05,1
yogesh_891,5244,274,4970,29,44,117,31,0,0,0.06,1
arjun316,67307,66192,1115,1471,1004,707,127,1,0,59.37,0
aishwarya_187,4291,159,4132,49,47,178,38,0,0,0.04,1
divya.mehta,39019,37377,1642,350,1885,1359,129,1,0,22.76,0
rahul.patel,98993,97318,1675,385,1249,1138,122,1,0,58.1,0
ananya_596,4986,157,4829,36,15,37,28,0,0,0.03,1
shreyapatil,3934,90,3844,65,31,139,22,1,1,0.02,1
snehakale,33052,31169,1883,179,622,2324,88,1,1,16.55,0
aditya.kulkarni,1785,184,1601,20,48,68,2,0,1,0.11,1
suresh.jadhav,71082,70266,816,2511,1383,619,81,1,1,86.11,0
suresh303,3259,153,3106,68,36,167,42,0,1,0.05,1
suresh_kale,4377,170,4207,50,44,117,31,1,0,0.04,1
neha539,100505,99864,641,1689,1899,639,72,1,0,155.79,0
kavyakale,63020,62634,386,961,1879,1116,112,1,1,162.26,0
vihaan258,74767,73205,1562,1231,872,1699,121,1,1,46.87,0
priya163,3638,261,3377,58,36,48,49,1,1,0.08,1
sai_163,41701,40652,1049,1612,399,2521,156,1,0,38.75,0
suresh_585,3440,69,3371,64,22,171,36,0,1,0.02,1
krishna_kharat,59337,58687,650,942,1990,1139,138,1,0,90.29,0
prathamesh933,15711,15438,273,3380,701,2521,110,1,0,56.55,0
kavya249,753,87,666,22,11,111,6,1,1,0.13,1
kunal_kadam,90549,89590,959,2816,596,2829,119,1,1,93.42,0
nikita_mehta,87528,85884,1644,4559,1048,2826,160,1,0,52.24,0
divya.mehta,44492,44236,256,3066,952,872,121,1,1,172.8,0
amit415,90046,88654,1392,994,773,1259,139,1,1,63.69,0
sai263,653,49,604,74,30,54,37,1,1,0.08,1
krishna_mehta,4971,275,4696,9,50,100,38,0,0,0.06,1
rohanjoshi,2734,219,2515,14,9,69,4,0,1,0.09,1
sneha_singh,4685,119,4566,0,1,101,36,0,0,0.03,1
ananya.kadam,2220,28,2192,53,33,24,13,0,0,0.01,1
ishaan_chavhan,30552,29058,1494,1289,138,2543,145,1,1,19.45,0
riya_kharat,4353,194,4159,14,2,100,17,0,1,0.05,1
arjun.patil,31800,30163,1637,3070,1440,2120,95,1,0,18.43,0
aditya_585,67111,65842,1269,1021,1100,859,102,1,1,51.88,0
aarav_joshi,94895,94798,97,4526,731,1893,139,1,0,977.3,0
aishwarya863,1251,31,1220,51,38,3,24,1,1,0.03,1
vihaan.sharma,3111,129,2982,43,9,104,21,0,0,0.04,1
amitchavhan,3532,281,3251,12,20,102,15,1,1,0.09,1
divyamehta,2326,144,2182,0,5,135,9,0,1,0.07,1
divya_777,1921,216,1705,13,47,171,26,1,1,0.13,1
nikita888,4435,258,4177,70,21,2,39,0,1,0.06,1
krishna287,51906,51293,613,375,1287,825,115,1,0,83.68,0
riya977,877,273,604,51,50,168,17,1,1,0.45,1
divya_603,4445,271,4174,76,7,164,33,0,0,0.06,1
aishwarya_kulkarni,67267,66422,845,597,809,2531,92,1,0,78.61,0
aishwarya.chavhan,1448,296,1152,19,29,170,11,1,0,0.26,1
rohan_pawar,48445,47290,1155,4314,286,2595,84,1,0,40.94,0
mrunal.kharat,96845,95225,1620,994,254,1252,148,1,0,58.78,0
ankit_874,3038,286,2752,4,20,41,45,1,0,0.1,1
prathamesh.kharat,5687,4499,1188,184,834,914,115,1,0,3.79,0
rohan_133,3775,168,3607,53,49,104,23,1,1,0.05,1
aarav564,80301,79563,738,4347,1591,1755,55,1,0,107.81,0
divya_85,47958,46779,1179,2633,1192,1865,58,1,1,39.68,0
sneha50,81906,81444,462,932,1583,2744,122,1,1,176.29,0
suresh_kulkarni,4378,123,4255,63,39,131,28,0,1,0.03,1
priya_615,2275,27,2248,3,37,45,26,1,1,0.01,1
shivalikulkarni,3110,159,2951,13,7,165,33,1,0,0.05,1
krishna301,3207,149,3058,74,15,73,11,0,0,0.05,1
suresh.pawar,37750,36838,912,1886,404,425,75,1,0,40.39,0
prathamesh_781,2366,165,2201,76,13,175,16,0,0,0.07,1
nikita868,40893,40104,789,4369,1164,2089,112,1,1,50.83,0
pooja549,2126,99,2027,12,17,122,50,0,1,0.05,1
ankit592,2009,171,1838,54,3,18,1,1,1,0.09,1
riya375,62082,61326,756,497,61,2730,88,1,0,81.12,0
kunal517,1552,207,1345,68,17,2,4,1,0,0.15,1
suman_86,88232,87961,271,3461,284,386,145,1,0,324.58,0
sneha_kamble,2357,41,2316,43,50,131,46,1,1,0.02,1
mrunal.kale,4485,61,4424,31,10,151,5,1,0,0.01,1
mrunal.kadam,5059,230,4829,54,33,22,13,1,1,0.05,1
aishwarya.joshi,836,176,660,27,37,116,20,1,0,0.27,1
prathamesh.sharma,4408,177,4231,39,31,86,48,1,1,0.04,1
amit_732,40482,39858,624,2840,378,363,134,1,0,63.88,0
yogesh496,35479,35367,112,1288,1996,733,83,1,0,315.78,0
ananya_906,3764,268,3496,71,9,151,27,1,0,0.08,1
aarav_kamble,1033,7,1026,46,44,143,41,1,0,0.01,1
arjunchavhan,1996,184,1812,54,9,173,17,0,1,0.1,1
rahul_289,14706,13364,1342,3987,1299,484,96,1,1,9.96,0
prathamesh_419,67111,65348,1763,2910,1294,410,130,1,0,37.07,0
rahul804,3965,26,3939,16,2,177,1,0,0,0.01,1
rahul_346,1856,272,1584,65,9,115,20,1,0,0.17,1
mrunal25,4778,156,4622,50,3,96,35,0,1,0.03,1
yogesh464,3512,55,3457,74,44,34,11,0,1,0.02,1
vivaan_124,3241,247,2994,77,5,126,50,0,0,0.08,1
aditya.sutar,2947,143,2804,32,41,138,23,0,1,0.05,1
ananya_joshi,2419,114,2305,76,31,131,4,0,1,0.05,1
priya_134,8889,8340,549,2391,1909,1145,120,1,1,15.19,0
riyapawar,3090,110,2980,18,38,150,19,0,1,0.04,1
prathamesh276,42022,40077,1945,4683,100,676,116,1,0,20.61,0
prathamesh.pawar,25519,23605,1914,3870,1302,658,104,1,0,12.33,0
arjun.kale,84668,83367,1301,2542,109,1499,67,1,1,64.08,0
suman879,2747,1102,1645,595,434,1243,84,1,0,0.67,0
shivali_821,3083,258,2825,56,37,168,20,1,0,0.09,1
vivaan_shinde,99839,99403,436,2772,94,1233,84,1,1,227.99,0
priya_815,24955,24175,780,4667,485,1579,147,1,1,30.99,0
mrunal251,397,37,360,53,10,18,39,0,1,0.1,1
sneha_363,1126,132,994,23,13,143,40,1,0,0.13,1
rahul_352,13927,13664,263,576,967,229,70,1,1,51.95,0
prathamesh_mehta,32117,30687,1430,1700,966,2499,88,1,0,21.46,0
shivali_148,3478,194,3284,56,16,11,34,1,1,0.06,1
riyakharat,19356,17870,1486,2406,180,1038,56,1,0,12.03,0
shreya_255,31621,29740,1881,4730,532,2025,159,1,1,15.81,0
aditya_390,3287,124,3163,47,15,47,48,1,0,0.04,1
shreyasingh,2025,122,1903,38,7,9,19,0,1,0.06,1
nikhil_pawar,57220,55331,1889,1767,1067,841,130,1,1,29.29,0
krishna.joshi,4362,109,4253,6,8,167,17,1,1,0.03,1
pooja_506,3627,209,3418,9,45,57,4,0,1,0.06,1
arjun76,3410,232,3178,78,10,7,39,0,0,0.07,1
riya.sharma,4692,3901,791,1501,735,2541,119,1,1,4.93,0
prajkta_bhise,75787,75594,193,428,946,247,114,1,1,391.68,0
amit_bhise,2501,208,2293,35,21,77,30,0,1,0.09,1
nikita_singh,99075,98948,127,3532,480,2547,77,1,0,779.12,0
sai.chavhan,60819,59171,1648,2329,350,830,135,1,0,35.9,0
amitkulkarni,3243,29,3214,3,4,114,42,0,0,0.01,1
sneha.sutar,28447,26926,1521,4571,216,823,77,1,0,17.7,0
ananya_patil,19391,18988,403,3449,934,1371,82,1,0,47.12,0
yogesh.sutar,23070,22279,791,916,621,2180,86,1,1,28.17,0
amit19,64325,62449,1876,428,868,1070,107,1,1,33.29,0
priya_849,1594,174,1420,39,1,105,40,1,0,0.12,1
suman_494,19862,18902,960,2889,125,272,144,1,1,19.69,0
ankit943,38262,36944,1318,506,938,693,66,1,1,28.03,0
prathamesh732,3630,98,3532,60,21,98,25,0,0,0.03,1
ankit.kamble,4207,181,4026,27,29,34,6,0,0,0.04,1
prajkta_985,99263,99091,172,3779,826,2487,122,1,0,576.11,0
sneha.shinde,18559,17839,720,2310,386,851,88,1,1,24.78,0
ankit.joshi,74443,74183,260,4051,892,1753,99,1,1,285.32,0
ananyabhise,2705,287,2418,34,20,24,37,1,1,0.12,1
shreya314,4578,205,4373,47,46,28,47,1,1,0.05,1
neha_54,67610,66529,1081,543,1266,279,120,1,0,61.54,0
priyasharma,3315,110,3205,49,12,16,43,0,1,0.03,1
nikitasharma,3455,153,3302,58,5,82,8,0,0,0.05,1
mrunal_bhise,3518,71,3447,57,20,12,5,1,1,0.02,1
ananya952,1409,112,1297,38,29,100,35,0,0,0.09,1
arjun.patel,612,166,446,19,2,110,2,1,1,0.37,1
divya.joshi,86319,84886,1433,1027,565,936,159,1,0,59.24,0
shreya.joshi,2532,199,2333,71,37,52,20,1,0,0.09,1
krishna_singh,3532,203,3329,36,43,106,33,0,0,0.06,1
nikhil_406,1229,53,1176,61,8,137,26,1,0,0.05,1
prathamesh363,3498,237,3261,2,16,36,30,0,0,0.07,1
rahul898,1793,69,1724,65,15,28,30,1,1,0.04,1
kavyajoshi,52923,51914,1009,2581,809,293,58,1,0,51.45,0
ankit23,71356,70889,467,4736,605,1340,58,1,1,151.8,0
